surface_composition,facet,adsorbate,reaction_energy_eV
CeW15HO48,1,OH*,2.11093448
WO3,1,OH*,0.75070648
FeW15O48,1,OH*,1.37558845
Bi3La,111,OH*,-1.09385
Hf3Si,111,OH*,-2.12385
Fe3V,111,OH*,-0.99385
Zn3Au,111,OH*,-0.02385
Rh3Hf,111,OH*,-0.88385
Rh3Ti,111,OH*,-0.75385
Co3Ga,111,OH*,0.55615
Cd3Sc,111,OH*,-1.50385
Au3In,111,OH*,0.69615
Co3Si,111,OH*,0.06615
Rh3Y,111,OH*,-0.69385
Cd3Pd,111,OH*,0.37615
Pd3Zn,111,OH*,0.76615
V3As,111,OH*,-2.00385
Ni2P,001,OH*,0.146892090608
Zr3Al,111,OH*,-2.21385
Ti3Ge,111,OH*,-2.34385
Pt3Nb,111,OH*,-1.06385
VW15O48,1,OH*,0.77527626
Ni3Al,111,OH*,-0.19385
Rh3Nb,111,OH*,-0.85385
Rh3V,111,OH*,-0.63385
Ru3Ti,111,OH*,-0.62385
Co3Pt,111,OH*,-0.10385
Al3Au,111,OH*,-0.91385
W16HO48,1,OH*,0.2596299
Co3Hf,111,OH*,-0.88385
Pt3Sc,111,OH*,-0.36385
Ir3Ta,111,OH*,-0.80385
TaW15HO48,1,OH*,1.99055403
Au3Sc,111,OH*,-1.29385
Pt3Sn,111,OH*,0.74615
FeW15HO48,1,OH*,1.53169191
Pt,111,OH*,0.14138492000000724
IrO2-rutile,100,OH*,-0.060922169999969356
IrO2-rutile,110,OH*,-0.10765132000000222
subbridge--subsurface-Cr-doped-IrO2-rutile,110,OH*,-0.25841875999998365
subcus--subsurface-Cr-doped-IrO2-rutile,110,OH*,-0.12574293000000125
surface-Cr-doped-IrO2-rutile,100,OH*,0.9018750700000169
surface-Cr-doped-IrO2-rutile,100,OH*,-0.07236922999999251
surface-Cr-doped-IrO2-rutile,100,OH*,-0.09297505999995792
surface-Cr-doped-IrO2-rutile,110,OH*,0.8053496300000234
surface-Cr-doped-IrO2-rutile,110,OH*,-0.14040893000003507
Cu,100,OH*,0.073232980161265
Cu,100,OH*,-0.04353678748884704
Cu,100,OH*,0.7251229342800798
Cu,111,OH*,0.06726749625522643
Cu,511,OH*,0.1108368013301515
Cu,511,OH*,0.5108310320720193
Cu,511,OH*,0.00683121413749177
Cu,511,OH*,0.1538769130129367
Cu,310,OH*,0.07665018588886596
Cu,310,OH*,-0.2032851010444574
Cu,310,OH*,0.59717853924667
Cu,211,OH*,-0.2617446120857494
Cu,100,OH*,0.008391651004785672
Cu,100,OH*,-0.1477134662491153
Cu,111,OH*,-0.02358390334120486
Cu,100,OH*,0.751642197748879
Cu,111,OH*,0.005773167453298811
Cu,111,OH*,0.029459793760906905
Cu,511,OH*,0.5011473164777271
Cu,100,OH*,0.036638837431382854
Cu,511,OH*,0.003046926809474826
Cu,100,OH*,-0.10397395395557396
Cu,511,OH*,0.2468162421573652
Cu,511,OH*,0.14760346424009185
Cu,100,OH*,0.7457319529494271
Cu,310,OH*,0.07000938343117014
Cu,511,OH*,0.09335593545984011
Cu,310,OH*,0.6146419218057417
Cu,310,OH*,-0.2179921063434449
Cu,211,OH*,-0.25866673233394977
Cu,111,OH*,-0.06853241747739958
Cu,511,OH*,0.1383731583264307
Cu,511,OH*,0.49759364563942654
Cu,310,OH*,0.06028097312810132
Cu,511,OH*,0.07484675134037388
Cu,511,OH*,0.4937016692565521
Cu,310,OH*,-0.233162181400985
Cu,511,OH*,-0.009921679171384312
Cu,310,OH*,0.6309994336697855
Cu,511,OH*,0.2367995272288681
Cu,111,OH*,0.05260715845361119
Cu,211,OH*,-0.25856611822382547
Cu,100,OH*,0.750110604953079
Cu,100,OH*,0.061619093001354486
Cu,100,OH*,-0.06317789718013955
Cu,100,OH*,0.02302770263486309
Rh3Ru,111,OH*,0.13304434697863599
Rh3Ru,111,OH*,0.501502267180399
RhRu,101,OH*,0.6088928098805582
RhRu,101,OH*,0.3164863538812597
Pd3Au,111,OH*,0.8327161021815073
Rh3Cu,111,OH*,0.4619003156811914
RhRu,101,OH*,0.1927205444816309
RhRu,101,OH*,0.514183044179731
Ru3Ag,111,OH*,-0.09264877561793128
Ru3Ag,111,OH*,-0.4268501485158822
Ru3Ag,111,OH*,1.2385160683815002
Ru3Au,111,OH*,-0.2242574500188539
Ru3Au,111,OH*,0.3489910321812886
Pd3Bi,111,OH*,0.8864630752804032
Ru3Bi,111,OH*,0.22294327617862564
Ru3Bi,111,OH*,0.831991463078225
Ru3Cu,111,OH*,0.034029196180995314
Ru3Cu,111,OH*,-0.059266802224669846
Ru3Cu,111,OH*,0.22722675617558252
Ru3Pd,111,OH*,-0.07095327531999374
Ru3Pd,111,OH*,-0.28918884601728223
Ru3Pd,111,OH*,0.2634866054803524
Ru3Pt,111,OH*,0.6336222434773617
Ru3Pt,111,OH*,0.033526601779954035
Ru3Pt,111,OH*,-0.008317295519304935
Ru3Pt,111,OH*,0.6544854835818796
Ru3Pt,111,OH*,1.376012742076341
Ru3Re,111,OH*,0.31840924628056655
Ru3Re,111,OH*,-0.28639559741998255
Ru3Re,111,OH*,0.3099635130791967
Ru3Rh,111,OH*,-0.15304797952114768
Ru3Rh,111,OH*,0.21267342777798603
Ru3Rh,111,OH*,-0.040631494120248135
Ru3Rh,111,OH*,1.0375386376771303
Pd3Bi,111,OH*,0.9138495643791202
Ru3Cu,111,OH*,-0.2243790848252729
Ru3Cu,111,OH*,-0.30961847261926323
Ru3Cu,111,OH*,0.722586053478949
Ru3Cu,111,OH*,1.6020136254782074
Ru3Pd,111,OH*,-0.19054608281942365
Ru3Pd,111,OH*,1.4124023896810058
Ru3Pt,111,OH*,-0.2557249664233723
Ru3Pt,111,OH*,0.31872204117905767
Ru3Re,111,OH*,-0.33002728272106197
Ru3Re,111,OH*,-0.038037024721347734
Ru3Re,111,OH*,-0.32869719032089506
Ru3Re,111,OH*,-0.03634393242020906
Ru3Rh,111,OH*,0.01916007967963651
Ru3Rh,111,OH*,-0.2083917165210778
Ru3Rh,111,OH*,0.25379676777890836
Pd3Bi,111,OH*,0.7863245023808076
Pd3Bi,111,OH*,0.7348533534794797
Pd3Bi,111,OH*,0.8298280220814149
Pd3Bi,111,OH*,1.0949439090808255
Ru3Bi,111,OH*,0.04038182977899396
Pd3Au,111,OH*,1.9679675539817936
Pd3Bi,111,OH*,0.6499966936797819
Rh3Pd,111,OH*,0.2548352901802673
Rh3Pd,111,OH*,0.4194579038784241
Rh3Pt,111,OH*,0.2500912574804488
Rh3Pt,111,OH*,0.5302562643781812
Rh3Pt,111,OH*,0.4778138050795633
Pd3Cu,111,OH*,0.7225697265793087
Rh3Pt,111,OH*,1.4037521627805063
Rh3Re,111,OH*,0.6894809559788655
Pd3Cu,111,OH*,0.8793033519804112
Rh3Ru,111,OH*,0.037768176281019805
Rh3Ru,111,OH*,0.5042632701814682
Rh3Ru,111,OH*,0.2047670241817059
Rh3Ru,111,OH*,0.5775549557810109
RhRu,101,OH*,-0.17406673272046191
RhRu,101,OH*,0.3208095624803491
RhRu,101,OH*,0.1687962957811351
Ru3Ag,111,OH*,-0.32436214472102165
Pd3Cu,111,OH*,0.7205722749757797
Ru3Au,111,OH*,-0.2675390608193311
Ru3Au,111,OH*,1.1816225069823076
Ru3Au,111,OH*,2.322820190381094
Ru3Bi,111,OH*,-0.027633160319169292
Ru3Bi,111,OH*,0.2975149851816923
Pd3Bi,111,OH*,0.6543264330802003
